,Team,No,Name,7mPGoals,7mPMissed,6mCGoals,6mCMissed,WingGoals,WingMissed,BTGoals,BTMissed,FBGoals,FBMissed,FTOGoals,FTOMissed,9mGoals,9mMissed,RC,2M,2+2,AS,R7,ST,BS,P7,TO,Time,scoring,Position,topk,top1
142,GRE,16,Petros Boukovinas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,148.0,0,GK,0,0
143,POL,11,Pawel Paterek,0,0,1,1,0,0,0,1,0,0,0,0,2,1,0,0,0,4,0,1,0,0,2,43.0,0,CB,0,0
144,GRE,5,Dimitrios Panagiotou,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,5,0,0,0,0,4,59.0,0,CB,0,0
145,CZE,19,Tomas Babak,0,0,1,1,0,0,3,2,0,0,0,0,0,2,0,0,0,3,0,1,0,0,4,47.0,0,CB,0,0
146,SWE,15,Hampus Wanne,20,7,1,1,5,8,0,0,10,1,0,0,0,0,0,0,0,2,0,1,0,0,1,336.0,0,LW,1,1
147,NED,5,Rutger ten Velde,21,3,2,5,17,11,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,3,241.0,0,LW,1,0
148,SLO,16,Miljan Vujovic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,GK,0,0
149,HUN,39,Richárd Bodó,0,0,1,2,0,0,7,1,0,0,0,0,9,17,0,1,0,24,0,1,0,0,10,200.0,0,LB,0,0
150,GEO,14,Teimuraz Orjonikidze,0,0,1,0,0,0,2,2,1,0,0,0,8,9,0,0,0,7,0,2,0,0,5,139.0,0,LB,0,0
151,SRB,93,Mijajlo Marsenic,0,0,4,4,0,0,1,0,0,0,0,0,0,0,1,5,0,4,0,1,1,0,1,104.0,0,LP,0,0
152,POL,15,Jakub Powarzynski,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.0,0,CB,0,0
153,SLO,77,Domen Novak,0,0,2,3,2,3,0,0,3,2,0,0,0,0,0,0,0,1,0,1,0,0,2,218.0,0,RW,0,0
154,FRA,28,Valentin Porte,0,0,0,3,4,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,153.0,0,RW,0,0
